epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8282,1.19871,2.29513,1.67563,0.39893,0.40084,0.32724,0.10476,2.178,2.62097,2.95723,0.000661616,0.000661616,0.000661616
2,20.9344,1.31926,1.77416,1.77665,0.39682,0.38819,0.28666,0.10334,2.2681,3.03267,3.20755,0.00119678,0.00119678,0.00119678
3,27.5614,1.39254,1.54856,1.86129,0.68467,0.61381,0.66423,0.35675,1.55543,1.57245,1.93997,0.00159995,0.00159995,0.00159995
4,35.0049,1.3365,1.31953,1.78759,0.74351,0.68354,0.72659,0.36993,1.64649,1.51764,2.06617,0.001406,0.001406,0.001406
5,42.0806,1.27132,1.15464,1.72495,0.74069,0.72314,0.74953,0.36788,1.6788,1.51898,1.97661,0.001208,0.001208,0.001208
6,48.7977,1.17998,1.01378,1.64364,0.83485,0.81013,0.85886,0.46502,1.40817,1.13536,1.70632,0.00101,0.00101,0.00101
7,55.4119,1.09952,0.91869,1.56395,0.89423,0.827,0.90396,0.62133,1.1061,0.90876,1.46322,0.000812,0.000812,0.000812
8,61.9344,1.02323,0.82464,1.48643,0.84287,0.81483,0.88265,0.60596,1.08189,0.90628,1.43784,0.000614,0.000614,0.000614
9,68.6206,0.96531,0.74874,1.44958,0.8907,0.8481,0.91106,0.64311,1.0028,0.82024,1.37642,0.000416,0.000416,0.000416
10,75.4687,0.8888,0.66527,1.38428,0.90335,0.87342,0.91967,0.66029,0.95202,0.72119,1.3406,0.000218,0.000218,0.000218
